"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M"
"Geovany Quenda,pt POR,MF,Sporting CP,Primeira Liga,17.0,2253,0.0799,0.1598,0.2397,1.7577,0.5193,29.55,0.0455,-0.0331,5.887360047698693,0.2372,6.682841924568802,0,False,-0.4304830874716922,0.986829816367869,0,Active Forward,-0.1519953861281429,0.3085794213049937,0.1451935129098027,0.1301601685701902,"
"Gjivai Zechiël,nl NED,MF,Sparta Rotterdam,Eredivisie,20.0,1025,0.1756,0.0878,0.2634,1.2293,0.3512,28.57,0.1429,0.0431,5.726425316081258,-0.1556,7.374761089424354,0,False,-0.2603014352845764,-0.429791940206272,0,Active Forward,-0.0273504072861361,-0.3389086681572399,0.1486673757618688,0.1194063913372764,"
"Gonçalo Franco,pt POR,MF,Swansea City,EFL Championship,23.0,3141,0.0573,0.0573,0.1146,1.2321,0.4011,32.56,0.0465,-0.5021,6.953476933077422,-0.378,8.032529492235946,0,False,-1.2977331915479595,-0.1748399888063781,1,Low Volume Player,-0.9206800148356472,-0.7037317328328769,0.1257311749835014,0.1107109587474434,"
"Gustavo Puerta,co COL,MF,Hull City,EFL Championship,21.0,1889,0.0,0.0,0.0,1.0482,0.1906,18.18,0.0,-0.5093,8.401461234837697,-0.4075,9.36070458789821,0,False,-2.829055532413656,-0.0176831670360127,1,Low Volume Player,-0.9197842619478624,-0.7435898331770494,0.1063664440049423,0.0965185322596734,"
"Gustavo sá,pt POR,MF,Famalicão,Primeira Liga,19.0,2520,0.1429,0.2143,0.3571,1.2857,0.4643,36.11,0.1111,0.4566,4.788139546745957,0.4976,5.961415286381087,0,False,0.3657027446588395,0.7342647494214831,2,Creative Playmaker,0.6457478753084909,0.7335499043422135,0.1727670855071542,0.1436489505167638,"
"Hannibal Mejbri,tn TUN,MF,Burnley,EFL Championship,21.0,1924,0.0468,0.1871,0.2339,1.5437,0.3274,21.21,0.0303,-0.0843,6.315886794518552,0.1286,6.960622641180943,0,False,-1.1173616327399745,1.5206173908702747,1,Low Volume Player,-0.2315441937558071,0.1305378870310986,0.1366888291313163,0.125618314681432,"
"Harrison Armstrong,eng ENG,MF,Derby County,EFL Championship,17.0,1105,0.0814,0.0,0.0814,0.733,0.2443,33.33,0.1111,-0.4154,7.278789859168043,-0.4864,8.782062348496764,0,False,-1.507244893914416,-1.2820705987159169,1,Low Volume Player,-0.7728759328853887,-0.8787881162860933,0.1207906006809179,0.1022279315316031,"
"Harrison Ashby,sct SCO,MF,QPR,EFL Championship,22.0,1583,0.0,0.0569,0.0569,0.7391,0.2274,30.77,0.0,-0.4576,7.798954346202324,-0.3225,8.681522511858633,0,False,-2.305354933424303,0.0587822223933651,1,Low Volume Player,-0.8384856992163277,-0.6063008022368424,0.1136498680018274,0.1032895393028449,"
"Hayden Hackney,eng ENG,MF,Middlesbrough,EFL Championship,22.0,3792,0.1187,0.0712,0.1899,1.875,0.5696,30.38,0.0633,-0.3934,6.233994637721282,-0.237,7.3719917216811295,0,False,-0.4079864743111597,0.0669000669435878,0,Active Forward,-0.7477852957644704,-0.4746316119559273,0.1382362097402661,0.119445889728997,"
"Haydon Roberts,eng ENG,MF,Bristol City,EFL Championship,22.0,1635,0.055,0.055,0.1101,0.3853,0.1101,28.57,0.1429,-0.2743,7.139376904162927,-0.3454,8.645942385979872,0,False,-1.6935175439655992,-0.9459814072315584,1,Low Volume Player,-0.5391440307076012,-0.6447423149713196,0.1228595274275288,0.1036705341982421,"
"Henrique Araújo,pt POR,FW,Arouca,Primeira Liga,22.0,1107,0.4878,0.1626,0.6504,2.1138,0.9756,46.15,0.2308,0.6315,2.8342013666389447,0.4189,5.57813792858603,0,False,3.743529461207696,-0.6039961290117424,3,Elite Attacker,0.8787041875627658,0.596817502301737,0.2608105063810455,0.1520187035991429,1.8"
"Idris El Mizouni,tn TUN,MF,Oxford United,EFL Championship,23.0,1244,0.0723,0.1447,0.217,1.3023,0.4341,33.33,0.0556,-0.1534,6.069503766272884,0.0648,7.00773207776255,0,False,-0.6888296312941483,0.5565079475558478,0,Active Forward,-0.3499581143331571,0.024723359387649,0.1414526440696997,0.124879302939842,"
"Ilias Sebaoui,be BEL,MF,Heerenveen,Eredivisie,22.0,1929,0.14,0.0,0.14,3.126,0.6998,22.39,0.0448,-0.1925,7.018287238861267,-0.1298,8.058647549843228,0,False,-0.2066426749855534,0.0833903093392741,0,Active Forward,-0.403929946264997,-0.2899744892416576,0.1247149135732405,0.1103917548947255,"
"Isaac,br BRA,FW,Nacional,Primeira Liga,20.0,1233,0.219,0.073,0.292,1.8978,0.7299,38.46,0.1154,0.3054,5.2776996552245405,0.1616,6.835790248019409,0,False,0.7981802282104373,-0.4884403384937855,0,Active Forward,0.4027566808511488,0.1842763124629228,0.1592940177008567,0.1276195467652751,"
"Isaac Price,nir NIR,MF,West Brom,EFL Championship,20.0,1049,0.0858,0.0858,0.1716,1.3727,0.3432,25.0,0.0625,-0.4177,6.592687217610475,-0.3011,7.713677768553097,0,False,-1.168537527916731,0.2302859523059846,1,Low Volume Player,-0.7839185081203581,-0.5782761879938438,0.1317056756507235,0.1147621046544678,"
"Ismael Saibari,ma MAR,MF,PSV,Eredivisie,23.0,1782,0.5556,0.5556,1.1111,4.2424,1.8687,44.05,0.131,0.624,4.124352146543421,0.6634,3.057596515541778,5,True,7.332794007039237,4.270920605205341,3,Elite Attacker,0.9098566583921164,0.9412988137590548,0.1951466197877403,0.2464513157406627,7.0"
"Ismaël Gharbi,tn TUN,MF,Braga,Primeira Liga,20.0,1058,0.3403,0.2552,0.5955,2.4669,0.7656,31.03,0.1379,0.6753,2.9112404691011933,0.6099,4.500160042926823,0,False,2.43578736309234,1.3789169694853978,2,Creative Playmaker,0.9551215140393527,0.8952492814162462,0.2556733619167632,0.1818128912968623,2.0"
"Iván Fresneda,es ESP,MF,Sporting CP,Primeira Liga,19.0,961,0.281,0.0,0.281,0.8429,0.5619,66.67,0.3333,0.2055,6.441447091089605,-0.0116,8.84506724824675,2,True,2.0037998377743595,-3.711248717198372,0,Active Forward,0.2528813860551733,-0.0870129168879705,0.1343824645608783,0.1015737094307897,"
"Jacob Trenskow,dk DEN,MF,Heerenveen,Eredivisie,23.0,1742,0.31,0.155,0.465,2.6349,0.8783,33.33,0.1176,0.5715,4.012506319213986,0.5061,5.530072353319727,0,False,2.00667544213057,0.5808578743397097,2,Creative Playmaker,0.8194462804456342,0.7413326354251611,0.1995009953736697,0.1531376600278594,"
"Jakob Breum,dk DEN,MF,Go Ahead Eagles,Eredivisie,20.0,2059,0.4371,0.2186,0.6557,2.5352,0.9616,37.93,0.1724,0.688,2.45000084848513,0.5436,4.682348627602725,0,False,3.391341910639078,0.6398393422077229,3,Elite Attacker,0.9534208644640464,0.7887142720064022,0.2898550011774903,0.1759835704452159,1.2"
"Jan Žambůrek,cz CZE,MF,Heracles Almelo,Eredivisie,23.0,935,0.0,0.0963,0.0963,0.0963,0.0,0.0,0.0,-0.3065,8.664386808923338,-0.2208,9.485140935815377,1,True,-3.601155116870124,1.1577342111140492,1,Low Volume Player,-0.5798322687195743,-0.4315660126362415,0.10347267961964,0.0953730623290124,"
"Jandro Orellana,es ESP,MF,Estoril,Primeira Liga,23.0,1018,0.0884,0.0884,0.1768,0.7957,0.3536,44.44,0.1111,-0.1281,6.325990176145348,-0.16,7.698440581599106,0,False,-0.5904351290569053,-0.7822401305399173,0,Active Forward,-0.3044963169615164,-0.3433198033175328,0.1365003195412638,0.1149631351296949,"
"Jason Knight,ie IRL,MF,Bristol City,EFL Championship,23.0,4140,0.0652,0.1304,0.1957,1.0652,0.1957,18.37,0.0612,-0.2314,6.7061403730800615,-0.1297,7.719680848074007,0,False,-1.5880944193640163,0.7585318905501586,1,Low Volume Player,-0.472165771967119,-0.2925931541996374,0.1297666473210519,0.1146830964829267,"
"Jasper Dahlhaus,nl NED,MF,Fortuna Sittard,Eredivisie,22.0,1761,0.1022,0.1022,0.2044,0.8177,0.3066,37.5,0.125,-0.0989,6.119133954592538,-0.1618,7.55767536911524,0,False,-0.6376971570681487,-0.5430165111589244,0,Active Forward,-0.2584998577877155,-0.3475757561375487,0.1404665239308922,0.1168541638783135,"
"Jean Gorby,fr FRA,MF,Braga,Primeira Liga,22.0,1217,0.074,0.0,0.074,0.7395,0.2219,30.0,0.1,-0.4502,7.40483683181152,-0.4991,8.854569070487761,0,False,-1.720575075602336,-1.1091873099821852,1,Low Volume Player,-0.8296915672554201,-0.8994556760219843,0.1189791092927698,0.1014757715783612,"
"Jeremy Ngakia,Unknown,MF,Watford,EFL Championship,23.0,1883,0.0478,0.0,0.0478,0.8125,0.1434,17.65,0.0588,-0.4738,7.960981908285761,-0.4518,9.205323058831452,0,False,-2.477201243111639,-0.455876924960408,1,Low Volume Player,-0.8641333051047804,-0.8183707867644618,0.1115949133961928,0.0979880787933139,"
"Jeremy Sarmiento,ec ECU,MF,Burnley,EFL Championship,22.0,1166,0.3087,0.0,0.3087,2.084,0.8491,40.74,0.1481,0.2145,5.451816969493787,0.0066,7.379679200617994,0,False,1.3764412034764135,-1.3877153308446766,0,Active Forward,0.2541205835997189,-0.0685717163822408,0.1549950974629803,0.119336310622279,"
"Jesurun Rak Sakyi,eng ENG,MF,Sheffield United,EFL Championship,21.0,1725,0.3652,0.1043,0.4696,2.4,0.887,36.96,0.1522,0.5455,4.062423243162376,0.3763,6.039763188501085,0,False,2.2344913634336923,-0.275007679944338,2,Creative Playmaker,0.7774208865071744,0.532471888066904,0.197533859175181,0.142050232830761,"
"Jobe Bellingham,eng ENG,MF,Sunderland,EFL Championship,18.0,3507,0.1027,0.077,0.1796,1.3601,0.231,16.98,0.0755,-0.3106,6.785924159808324,-0.2715,7.997645052584728,0,False,-1.4296779726685769,0.2893246920763065,1,Low Volume Player,-0.6032710667174506,-0.5266736595383374,0.128436904788014,0.1111401921453583,"
"Jochem van de Kamp,nl NED,MF,Almere City,Eredivisie,20.0,2001,0.0,0.045,0.045,0.6747,0.1349,20.0,0.0,-0.4592,8.144615799798755,-0.3467,9.057087490914602,0,False,-2.813349492128302,0.2467274000736054,1,Low Volume Player,-0.8382109223634191,-0.6441516810470533,0.1093539654254262,0.0994323655733712,"
"Joe Gelhardt,eng ENG,FW,Hull City,EFL Championship,22.0,1593,0.2825,0.0,0.2825,2.5989,0.6215,23.91,0.1087,0.0381,5.987548749115057,-0.0903,7.6332288821822205,0,False,0.5355044008700451,-0.5184857005423279,0,Active Forward,-0.0318994939555958,-0.2278029141368158,0.1431117028166201,0.1158315172280281,"
"Joel silva,pt POR,FW,Boavista,Primeira Liga,21.0,2397,0.0751,0.0375,0.1126,0.7885,0.2628,33.33,0.0952,-0.4146,7.004185868657132,-0.44,8.382989879677188,0,False,-1.401377917383327,-0.819141608347921,1,Low Volume Player,-0.7743549218932402,-0.8043740243926798,0.1249346300060084,0.1065758370011589,"
"Johan Bakayoko,be BEL,FW,PSV,Eredivisie,21.0,1579,0.513,0.057,0.57,3.4199,1.5389,45.0,0.15,0.4382,4.591134555606198,0.3197,6.417613220911804,1,True,4.223910788215067,-0.6438557010982102,3,Elite Attacker,0.6110340184370322,0.4429488325780717,0.1788545759460047,0.1348142549655717,"
"Johan Hove,no NOR,MF,Groningen,Eredivisie,23.0,1748,0.0,0.0,0.0,1.5961,0.5149,32.26,0.0,-0.5096,7.9100435087235805,-0.3657,8.78823888965411,0,False,-1.7823148796768606,-0.2829403241726462,1,Low Volume Player,-0.92413594335341,-0.6776451796684415,0.1122328975185056,0.1021634240105205,"
"John Mercado,ec ECU,FW,AVS Futebol,Primeira Liga,22.0,2341,0.1153,0.0384,0.1538,1.8454,0.3076,16.67,0.0625,-0.361,6.984013091400118,-0.3172,8.183384759269826,0,False,-1.2954405999832086,0.1546265513059315,1,Low Volume Player,-0.6851084411976514,-0.6012698190785712,0.1252502956285402,0.1088923121717825,"
"Jonathan Varane,mq MTQ,MF,QPR,EFL Championship,22.0,2598,0.0,0.0693,0.0693,0.6928,0.1386,20.0,0.0,-0.428,7.954941202695037,-0.3011,8.816173939477636,0,False,-2.690938689720639,0.4726587556672481,1,Low Volume Player,-0.787775591386366,-0.5697096744130119,0.1116701916143285,0.1018726854440004,"
"Jorg Schreuders,nl NED,MF,Groningen,Eredivisie,19.0,1940,0.232,0.0464,0.2784,0.9278,0.5567,60.0,0.25,0.2135,5.792694907167622,0.0161,7.935287369392726,0,False,1.3894624535418558,-2.5121688588822404,0,Active Forward,0.2577377018021081,-0.0478078480166566,0.1472169755401209,0.1119158185583866,"
"Josh Coburn,eng ENG,FW,Millwall,EFL Championship,21.0,1218,0.3695,0.0,0.3695,2.069,0.8867,42.86,0.1786,0.3075,5.133018479323239,0.0739,7.310664504650631,0,False,1.9334482295858768,-1.6555791895149623,0,Active Forward,0.4037175462031492,0.0429704614865743,0.1630518485100581,0.1203273215325202,"
"Joshua Kitolano,no NOR,MF,Sparta Rotterdam,Eredivisie,22.0,1582,0.0,0.1138,0.1138,1.3085,0.3413,26.09,0.0,-0.3739,7.220345373534618,-0.1575,7.899744888424375,0,False,-1.7863707482550866,0.8570513901811336,1,Low Volume Player,-0.7042571621050688,-0.3374234161693099,0.1216493899659614,0.1123627713532181,"
"Juho Talvitie,fi FIN,MF,Heracles Almelo,Eredivisie,19.0,1508,0.179,0.0,0.179,1.9098,0.5968,31.25,0.0938,-0.3097,6.412943978358566,-0.4032,7.902530929142835,0,False,-0.1997769456573753,-0.8017016280834998,0,Active Forward,-0.6060526961621142,-0.7468966973429232,0.1348991713574811,0.1123276075038902,"
"Junior Kadile,fr FRA,FW,Almere City,Eredivisie,21.0,2207,0.2039,0.0816,0.2855,3.4662,0.8564,24.71,0.0588,0.1274,5.88826256610645,0.1876,6.839711062653299,0,False,0.962738464232175,0.7557846437368934,2,Creative Playmaker,0.1154837742855631,0.2276276060673028,0.1451744892711376,0.1275557213790423,"
"Kaine Kesler-Hayden,eng ENG,MF,Preston North End,EFL Championship,21.0,3670,0.049,0.0736,0.1226,0.9809,0.2698,27.5,0.05,-0.4493,7.060310567084639,-0.3449,8.14021965564362,0,False,-1.6675906868217043,0.0314744598850634,1,Low Volume Player,-0.831588298892231,-0.6477545702093368,0.1240646984600859,0.1094065610756466,"
"Kaio César,br BRA,FW,Vitória Guimarães,Primeira Liga,20.0,1299,0.1386,0.2079,0.3464,2.0785,0.7621,36.67,0.0667,0.4314,4.808313587957454,0.5949,5.580838114397626,0,False,0.8282209663309474,1.1644122350174704,2,Creative Playmaker,0.6042679326989913,0.8902719640309514,0.172167012826809,0.1519563287557841,1.5"
"Karamoko Dembélé,eng ENG,MF,QPR,EFL Championship,21.0,1186,0.2277,0.3035,0.5312,1.6695,0.6071,36.36,0.1364,0.6424,3.307475308161844,0.6332,4.52628189547893,0,False,1.675033022974186,1.4708601802372652,2,Creative Playmaker,0.9158776258521376,0.9347603365284598,0.2321545519031045,0.1809534907761588,2.8"
"Kees Smit,nl NED,MF,AZ Alkmaar,Eredivisie,18.0,989,0.0,0.0,0.0,1.82,0.364,20.0,0.0,-0.4993,8.140351986823363,-0.3658,9.010991154708764,0,False,-2.2106897624905084,0.1223241472791297,1,Low Volume Player,-0.9050816304216158,-0.6761963713132453,0.1094049771214051,0.0998902091257608,"
"Keliano,ao ANG,MF,Estrela,Primeira Liga,21.0,976,0.0,0.0922,0.0922,0.8299,0.0922,11.11,0.0,-0.3626,8.01095154176512,-0.2362,8.80233094311512,0,False,-2.8381346602604083,0.9729210435961244,1,Low Volume Player,-0.6783797623300902,-0.4616654959230217,0.110976071213464,0.1020165515532172,"
"Kellen Fisher,eng ENG,MF,Norwich City,EFL Championship,20.0,2692,0.0,0.1337,0.1337,0.6352,0.1337,21.05,0.0,-0.3122,7.505091861150328,-0.1559,8.227666623575534,0,False,-2.4024500114614087,1.0145558530497525,1,Low Volume Player,-0.598641983516687,-0.3320543453647113,0.1175766254292694,0.1083697581190379,"
"Kenneth Taylor,nl NED,FW,Ajax,Eredivisie,22.0,2447,0.331,0.2207,0.5517,1.7654,0.7724,43.75,0.1875,0.6748,2.97065071476387,0.5277,5.079983892386879,0,False,2.529894858005328,0.1894562380599253,2,Creative Playmaker,0.9568138647450138,0.769834181158759,0.2518478888817267,0.1644741199482718,14.0"
"Kenzo Goudmijn,nl NED,MF,Derby County,EFL Championship,22.0,2321,0.0776,0.0776,0.1551,1.4347,0.3102,21.62,0.0541,-0.409,6.8294622840320205,-0.2972,7.910425723378137,0,False,-1.396985092612183,0.3241634076158933,1,Low Volume Player,-0.7667886428647153,-0.5701570554703184,0.1277226920218357,0.1122280832638912,"
"Kian Fitz-Jim,nl NED,MF,Ajax,Eredivisie,21.0,1233,0.146,0.073,0.219,1.6788,0.6569,39.13,0.087,-0.0977,5.85294005751806,-0.0785,7.15724149353918,0,False,0.1207941608923552,-0.3748320761224772,0,Active Forward,-0.2601962117702645,-0.2126324921994435,0.1459227706074772,0.122590461590727,"
"Kieran Morgan,eng ENG,MF,QPR,EFL Championship,18.0,1586,0.0567,0.1135,0.1702,0.9647,0.1702,17.65,0.0588,-0.2863,6.954955834434647,-0.1962,7.991496267184154,0,False,-1.8175006854257807,0.6162312195852754,1,Low Volume Player,-0.5609847861810746,-0.4011907388682274,0.1257078003715993,0.1112161947561112,"
"Kodai Sano,jp JPN,MF,NEC Nijmegen,Eredivisie,20.0,1970,0.0914,0.0914,0.1827,1.2792,0.2741,21.43,0.0714,-0.3365,6.619250646261058,-0.2626,7.783057332342332,0,False,-1.2998640240500023,0.300196380638573,1,Low Volume Player,-0.6483819365474282,-0.5136456499286215,0.1312465026322139,0.1138555701233607,"
"Koki Saito,jp JPN,MF,QPR,EFL Championship,22.0,2295,0.1176,0.0784,0.1961,1.4902,0.3922,26.32,0.0789,-0.4267,6.318587054790018,-0.36,7.565697833973552,0,False,-0.8088571191221339,0.0451487799082984,0,Active Forward,-0.802321404301253,-0.6777770266212666,0.1366383965256653,0.1167447205566564,"
"Kornelius Hansen,no NOR,FW,Almere City,Eredivisie,23.0,1888,0.0953,0.0953,0.1907,2.2405,0.7627,34.04,0.0426,-0.1201,6.142810401365296,0.0814,7.011850968116401,0,False,-0.0175698164138455,0.4160058006574048,0,Active Forward,-0.2934610425038881,0.0524434262505357,0.1400009161392352,0.1248151025249414,"
"Kristian Nökkvi Hlynsson,is ISL,MF,Sparta Rotterdam,Eredivisie,20.0,1211,0.1486,0.223,0.3716,2.0066,0.8175,40.74,0.0741,0.4781,4.552352120257373,0.6053,5.3307238559875545,0,False,1.1332223799621386,1.1188389259105258,2,Creative Playmaker,0.6768151178441074,0.9035679877643922,0.1801038511861611,0.1579598198797135,3.5"
"Kwadwo Baah,eng ENG,FW,Watford,EFL Championship,21.0,1459,0.2467,0.1851,0.4318,1.5422,0.7402,48.0,0.16,0.5764,3.964545096980716,0.4673,5.67850475836622,0,False,1.789731904019835,-0.131624460301352,2,Creative Playmaker,0.826369112473005,0.6790821172933456,0.2014283243409692,0.1497341150722834,"
"Kyan Vaesen,be BEL,FW,Willem II,Eredivisie,23.0,1896,0.1899,0.0949,0.2848,1.3766,0.6171,44.83,0.1379,0.2777,5.272607698576963,0.1306,6.898856296348576,0,False,0.6733051842755102,-0.7591710016690828,0,Active Forward,0.3565551232400917,0.1333393436446865,0.1594233288695649,0.1266006067818036,"
"Kyle Joseph,sct SCO,FW,Hull City,EFL Championship,22.0,1009,0.0,0.0,0.0,1.2488,0.5352,42.86,0.0,-0.4469,7.912854805088355,-0.3262,8.817877256277487,0,False,-1.6109708345153255,-0.6763772303231085,1,Low Volume Player,-0.8196795379889976,-0.6116170987441918,0.1121974969713519,0.1018550114140616,"
"Leo Sauer,sk SVK,FW,NAC Breda,Eredivisie,18.0,2482,0.2538,0.0725,0.3263,2.3932,0.7615,31.82,0.1061,0.3147,5.185009062894371,0.219,6.700156755210863,0,False,1.0007345449256055,-0.1145029460586764,0,Active Forward,0.4167835672694588,0.278442508108799,0.1616812505577856,0.1298674860512778,"
"Levi Smans,nl NED,MF,Heerenveen,Eredivisie,20.0,2298,0.1175,0.0783,0.1958,1.8016,0.7833,43.48,0.0652,-0.0614,6.018107866688228,0.0339,7.115486737393262,0,False,0.2238585794105732,-0.2717615540456189,0,Active Forward,-0.1972652084444666,-0.0256959366656099,0.1424885480524667,0.1232211982298433,"
"Lewis Koumas,wls WAL,MF,Stoke City,EFL Championship,18.0,2441,0.1106,0.0737,0.1844,1.6592,0.5531,33.33,0.0667,-0.4559,6.236569076474708,-0.2997,7.398159506563432,0,False,-0.4547149783283725,-0.0723987130455338,0,Active Forward,-0.8519977127084499,-0.5788508858757053,0.1381870316488638,0.119073708854716,"
"Liam Thompson,eng ENG,MF,Derby County,EFL Championship,22.0,1610,0.0,0.0,0.0,0.5031,0.0559,11.11,0.0,-0.4622,8.808992578335044,-0.3886,9.808997646007104,0,False,-3.4505339604641283,0.0530534787782005,1,Low Volume Player,-0.83833003563894,-0.7093830522330287,0.1019472684900061,0.092515516493743,"
"Luca Koleosho,it ITA,MF,Burnley,EFL Championship,19.0,1677,0.1073,0.0,0.1073,1.5564,0.5903,37.93,0.069,-0.4363,6.885340577879406,-0.4237,8.18356748875803,0,False,-0.6629743054537274,-0.9172758297958148,0,Active Forward,-0.8116795311855605,-0.7787888566818397,0.1268176041508315,0.108890145493474,"
"Luciano Valente,nl NED,MF,Groningen,Eredivisie,20.0,2587,0.0696,0.2435,0.3131,1.7743,0.8002,45.1,0.0392,0.2872,5.202933233584836,0.4823,5.585833792296554,0,False,0.6520753971008957,1.3543679906765784,2,Creative Playmaker,0.3712414370000043,0.7025922954287963,0.1612140518594739,0.1518410624285264,"
"Luismi,gq EQG,FW,Moreirense,Primeira Liga,23.0,1369,0.3287,0.1972,0.5259,3.0241,1.3148,43.48,0.1087,0.5447,3.690872547149673,0.5279,4.8353394424542895,0,False,3.231128051315381,0.8451683399276411,2,Creative Playmaker,0.7657785937918189,0.7655915403895661,0.2131799553171898,0.1713696366529466,"
"Luke Cundle,eng ENG,MF,Millwall,EFL Championship,22.0,985,0.0914,0.0,0.0914,0.5482,0.2741,50.0,0.1667,-0.1722,7.125057873881513,-0.2955,8.828515558742865,0,False,-0.7422230948696555,-2.189397669819608,0,Active Forward,-0.3689813983831222,-0.5603668347184438,0.1230760464137197,0.1017447644075263,"
"Lyle Foster,za RSA,FW,Burnley,EFL Championship,23.0,1590,0.1132,0.283,0.3962,2.2075,0.7925,35.9,0.0513,0.4304,4.581800920133648,0.6093,4.875611723488603,0,False,1.035655651803412,2.0070977508847734,2,Creative Playmaker,0.5979462348415786,0.9019623801476389,0.179153648492368,0.170195044713788,8.0"
"MT,br BRA,MF,Santa Clara,Primeira Liga,23.0,2789,0.0323,0.0323,0.0645,0.6454,0.0968,15.0,0.05,-0.4288,7.966201113186822,-0.3832,9.112700760616695,0,False,-2.6645702647236447,-0.0671651277154823,1,Low Volume Player,-0.7890678184169548,-0.7045483691066208,0.1115299542555736,0.0988855523041322,"
"Makan Aiko,fr FRA,FW,Fortuna Sittard,Eredivisie,23.0,1179,0.0763,0.0,0.0763,1.8321,0.5344,29.17,0.0417,-0.5059,7.256370258676796,-0.4173,8.374733855680686,0,False,-1.1468344699991022,-0.4139353150266424,1,Low Volume Player,-0.9238862071664706,-0.7666900472141638,0.1211185991748709,0.1066696948835558,"
"Malik Tillman,us USA,FW,PSV,Eredivisie,22.0,1915,0.564,0.094,0.658,2.7728,1.1749,42.37,0.2034,0.5501,3.56636113125418,0.355,6.090603802282325,1,True,4.112197942739197,-0.7631387887495485,3,Elite Attacker,0.7708994143272205,0.4975680596449563,0.2189927540236713,0.1410317129379193,"
"Mamadou Doumbia,ml MLI,FW,Watford,EFL Championship,18.0,968,0.186,0.0,0.186,1.4876,0.3719,25.0,0.125,-0.289,6.543643060706952,-0.4611,8.216502800823669,0,False,-0.6517368778624054,-0.9412796861220732,0,Active Forward,-0.5699679833586568,-0.8408833319132425,0.1325619454622346,0.108501024912685,"
"Marcos Vinicios Sorriso,br BRA,MF,Famalicão,Primeira Liga,23.0,2020,0.3564,0.1782,0.5347,2.3168,0.9356,40.38,0.1538,0.6495,3.272265774029649,0.5246,5.186268636459882,0,False,2.648366418106191,0.2697780825498498,2,Creative Playmaker,0.926430520564007,0.7665004952211547,0.2340678349363993,0.1616483309674463,1.2"
"Marcus Linday,se SWE,MF,Heerenveen,Eredivisie,21.0,1264,0.1424,0.1424,0.2848,0.5696,0.2848,50.0,0.25,0.2375,5.562440949886738,0.0793,7.480280363419983,0,False,0.5935187807495674,-1.4461624265928563,0,Active Forward,0.2943127071789935,0.053618359050896,0.1523823235342421,0.1179206296425692,"
"Martim Neto,pt POR,MF,Rio Ave,Primeira Liga,21.0,1371,0.1313,0.0656,0.1969,0.7877,0.1969,25.0,0.1667,-0.1229,6.430640036615649,-0.2714,8.122113537341647,0,False,-0.9575120996128096,-0.8022797787464,0,Active Forward,-0.2945787769472558,-0.525468040182338,0.1345779091804128,0.109623717782778,"
"Mason Burstow,eng ENG,FW,Hull City,EFL Championship,20.0,953,0.1889,0.0944,0.2833,2.7387,1.2277,44.83,0.069,0.2286,5.47068693995416,0.2801,6.435662060599177,0,False,1.669069133483062,0.0601048580251307,2,Creative Playmaker,0.277968657975801,0.3772519409238881,0.1545430970899488,0.1344870156618466,"
"Mateo Joseph,es ESP,FW,Leeds United,EFL Championship,20.0,1285,0.2101,0.2101,0.4202,2.7315,1.1206,41.03,0.0769,0.4828,4.274305675775242,0.5579,5.021399767375973,0,False,2.098982926349936,1.1654167851182669,2,Creative Playmaker,0.6783294993453038,0.8191023638940674,0.1895984156915621,0.166074341288219,"
"Matheus Dias,br BRA,MF,Nacional,Primeira Liga,22.0,1750,0.0,0.0514,0.0514,0.36,0.0514,14.29,0.0,-0.4164,8.390691469381764,-0.323,9.312870581836874,0,False,-3.1979081017835425,0.3934905215342943,1,Low Volume Player,-0.7649967812813028,-0.6030529946782333,0.1064884309382847,0.0969662124686418,"
"Matheus Pereira,br BRA,MF,Santa Clara,Primeira Liga,23.0,1723,0.0,0.2089,0.2089,0.8358,0.3134,37.5,0.0,-0.087,6.607194221121102,0.1227,7.078245927188288,0,False,-1.2768995580007665,1.273634253866634,1,Low Volume Player,-0.2326612998043828,0.1219602618205843,0.1314545114706728,0.1237892494253464,"
"Mathias De Amorim,pt POR,MF,Famalicão,Primeira Liga,19.0,1072,0.084,0.084,0.1679,1.4272,0.1679,11.76,0.0588,-0.2878,7.100127997824356,-0.2216,8.185772413590549,0,False,-1.7699378507555383,0.6310973547164744,1,Low Volume Player,-0.5620130392633231,-0.4418470850384819,0.1234548392653293,0.1088640078346028,"
"Mathis Suray,be BEL,MF,Go Ahead Eagles,Eredivisie,23.0,1454,0.1857,0.0,0.1857,1.9807,0.4333,21.88,0.0938,-0.2963,6.624106131174986,-0.3781,8.117007922525955,0,False,-0.5960181999707191,-0.5184817561955379,0,Active Forward,-0.5813580280693005,-0.7032319978046813,0.1311629170416448,0.1096851081514625,"
"Matthew Sorinola,eng ENG,MF,Plymouth Argyle,EFL Championship,23.0,1674,0.0,0.0538,0.0538,0.1075,0.0538,50.0,0.0,-0.316,8.137870345345327,-0.2433,9.088843928001625,0,False,-2.250084531518329,-0.6960660873183669,1,Low Volume Player,-0.5995855652811377,-0.4715061721689855,0.1094346890694704,0.0991193844543968,"
