"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M"
"Anis Mehmeti,al ALB,FW,Bristol City,EFL Championship,23.0,2558,0.4222,0.0352,0.4574,3.0258,1.1259,37.21,0.1395,0.3866,4.758458882631589,0.2447,6.651401392949205,0,False,2.725215392727093,-0.6624751765704905,3,Elite Attacker,0.528592064960239,0.3207756988458776,0.1736575740804811,0.1306950124092958,"
"Anouar El Azzouzi,nl NED,MF,Zwolle,Eredivisie,23.0,2876,0.0313,0.0,0.0313,1.1266,0.1565,13.89,0.0278,-0.4785,8.198092682933433,-0.4122,9.282107121669489,0,False,-2.661412282927869,-0.0613192248703542,1,Low Volume Player,-0.870028941283016,-0.7518639001922027,0.108718191311058,0.0972563296770664,"
"Ante Crnac,hr CRO,FW,Norwich City,EFL Championship,20.0,2495,0.2525,0.1443,0.3968,1.1904,0.5772,48.48,0.2121,0.4586,4.428451889357521,0.2676,6.490955204091168,0,False,1.5543720278479434,-0.9615594962881656,0,Active Forward,0.6415829284784603,0.3570035131273952,0.1842145827911821,0.1334943238552344,"
"Anthony Musaba,nl NED,FW,Sheffield Weds,EFL Championship,23.0,1328,0.2033,0.4066,0.6099,2.1687,0.6777,31.25,0.0938,0.5846,3.3030803303204745,0.6701,3.417141485085636,1,True,1.97207835194449,2.969920808550111,2,Creative Playmaker,0.8194090801070533,0.9658847989459964,0.2323916643976582,0.2263907559620796,2.0"
"Anton Gaaei,dk DEN,MF,Ajax,Eredivisie,21.0,1781,0.1516,0.2021,0.3537,0.9601,0.4043,42.11,0.1579,0.4061,4.783591408445653,0.3366,6.273901594313943,0,False,0.5411407341598983,0.0505777363857754,0,Active Forward,0.56150802226168,0.4692945533213002,0.1729029472136848,0.1374778015668656,"
"Antoni Milambo,nl NED,MF,Feyenoord,Eredivisie,19.0,1978,0.1365,0.2275,0.364,1.547,0.364,23.53,0.0882,0.3232,5.102066140033388,0.4199,6.062034600202626,0,False,-0.0827183530802347,1.4353350326880772,2,Creative Playmaker,0.4293438286800615,0.6053788979641093,0.1638789185583177,0.1416022515623624,"
"Arvin Appiah,eng ENG,FW,Nacional,Primeira Liga,23.0,1384,0.0,0.0,0.0,0.9754,0.2601,26.67,0.0,-0.5295,8.222381137474374,-0.4208,9.189349252888574,0,False,-2.533444746448467,-0.2808670245387601,1,Low Volume Player,-0.9548080042888996,-0.7666795806300009,0.1084318664663059,0.0981416943497653,"
"Babatunde Akinsola,ng NGA,MF,AVS Futebol,Primeira Liga,21.0,1170,0.1538,0.0769,0.2308,2.0769,0.4615,22.22,0.0741,-0.177,6.137572843177853,-0.1202,7.354039121267069,0,False,-0.4199598140985838,0.3288169485745368,0,Active Forward,-0.3883523215994804,-0.2800825060299607,0.1401036489534124,0.1197025756623855,"
"Bae Junho,kr KOR,MF,Stoke City,EFL Championship,20.0,3260,0.0828,0.138,0.2209,1.1043,0.3865,35.0,0.075,-0.1258,6.020270490115674,0.0077,7.1075919460281085,0,False,-0.6686039447249638,0.2660948909815381,0,Active Forward,-0.3046690097167357,-0.0693796334182226,0.142444653864544,0.1233411852319353,"
"Bali Mumba,eng ENG,MF,Plymouth Argyle,EFL Championship,22.0,3396,0.0,0.053,0.053,0.583,0.0795,13.64,0.0,-0.4217,8.301479805664249,-0.3189,9.200386286034524,0,False,-3.071915888902554,0.4818441045036848,1,Low Volume Player,-0.7745707447394481,-0.5967936554063655,0.1075097748845337,0.0980355029661094,"
"Basar Onal,tr TUR,MF,NEC Nijmegen,Eredivisie,20.0,1386,0.0649,0.1299,0.1948,1.8182,0.7143,39.29,0.0357,-0.0808,6.085497462060609,0.1562,6.84419772899149,0,False,-0.1503428601264063,0.519183673156482,0,Active Forward,-0.2288018198024519,0.1753868445924619,0.1411333509544691,0.1274827629987047,"
